Company Name,Ticker,Sector,Exchange,Market Cap
DISCOVERY COM-C,DISCK,Consumer Discretionary,NSDQ,11929.39
DISH NETWORK CP,DISH,Consumer Discretionary,NSDQ,30970.51
DOLLAR TREE INC,DLTR,Retail-Wholesale,NSDQ,18128.05
DORCHESTER MNRL,DMLP,Oils-Energy,NSDQ,450.31
DIAMOND FOODS,DMND,Consumer Staples,NSDQ,1009.15
DIGIMARC CORP,DMRC,Industrial Products,NSDQ,329.91
DUNKIN BRANDS,DNKN,Retail-Wholesale,NSDQ,5069.37
DORMAN PRODUCTS,DORM,Auto-Tires-Trucks,NSDQ,1846.39
AMDOCS LTD,DOX,Computer and Technology,NSDQ,8944.65
DRYSHIPS INC,DRYS,Transportation,NSDQ,302.43
DESCARTES SYS,DSGX,Computer and Technology,NSDQ,1269.83
IDREAMSKY ADR,DSKY,Computer and Technology,NSDQ,506.81
DAVIDSTEA INC,DTEA,Consumer Staples,NSDQ,344.46
DTS INC,DTSI,Computer and Technology,NSDQ,510.15
DYNAVAX TECH CP,DVAX,Medical,NSDQ,905.39
DREAMWORKS ANIM,DWA,Consumer Discretionary,NSDQ,1731.85
DEXCOM INC,DXCM,Medical,NSDQ,7276.29
DXP ENTERPRISES,DXPE,Industrial Products,NSDQ,510
DYAX CORP,DYAX,Medical,NSDQ,3487.71
ELECTR ARTS INC,EA,Consumer Discretionary,NSDQ,22895.14
EBAY INC,EBAY,Retail-Wholesale,NSDQ,34780.41
EBIX INC,EBIX,Computer and Technology,NSDQ,1168.4
MERIDIAN BANCRP,EBSB,Finance,NSDQ,714.01
ECHO GLOBAL LOG,ECHO,Transportation,NSDQ,727.07
US ECOLOGY INC,ECOL,Business Services,NSDQ,1055.88
ENCORE CAP GRP,ECPG,Finance,NSDQ,1116.56
EURONET WORLDWD,EEFT,Finance,NSDQ,3625.35
ELECTRN IMAGING,EFII,Computer and Technology,NSDQ,2142.76
ENTERPRISE FINL,EFSC,Finance,NSDQ,485.98
EAGLE BCP INC,EGBN,Finance,NSDQ,1474.39
8X8 INC,EGHT,Computer and Technology,NSDQ,714.1
EAGLE BULK SHPG,EGLE,Transportation,NSDQ,326.9
EGALET CORP,EGLT,Medical,NSDQ,305.39
NIC INC,EGOV,Computer and Technology,NSDQ,1301.68
EAGLE PHARMACT,EGRX,Medical,NSDQ,1433.76
ENDURANCE INTL,EIGI,Computer and Technology,NSDQ,2249.68
ENDOLOGIX INC,ELGX,Medical,NSDQ,878.95
EARTHLINK HLDGS,ELNK,Computer and Technology,NSDQ,881.4
SYNERON MED LTD,ELOS,Medical,NSDQ,354.31
EMC INSURANCE,EMCI,Finance,NSDQ,501.86
ENDO INTL PLC,ENDP,Medical,NSDQ,17436.75
ENSIGN GROUP,ENSG,Medical,NSDQ,1204.55
GLOBAL EAGL ENT,ENT,Computer and Technology,NSDQ,956.09
ENANTA PHARMA,ENTA,Medical,NSDQ,811.05
ENTEGRIS INC,ENTG,Computer and Technology,NSDQ,2063.35
ENTELLUS MED,ENTL,Medical,NSDQ,450.45
BOTTOMLINE TECH,EPAY,Computer and Technology,NSDQ,1103.34
EPIQ SYS INC,EPIQ,Computer and Technology,NSDQ,552.32
EPIZYME INC,EPZM,Medical,NSDQ,792.78
EQUINIX INC,EQIX,Finance,NSDQ,15970.45
ELDORADO RESRTS,ERI,Consumer Discretionary,NSDQ,424.97
ERICSSON LM ADR,ERIC,Computer and Technology,NSDQ,33259.52
ERIE INDEMNITY,ERIE,Finance,NSDQ,3981.49
ENSTAR GROUP LT,ESGR,Finance,NSDQ,2533.51
ELBIT SYSTEMS,ESLT,Aerospace,NSDQ,3645.38
ESSENDANT INC,ESND,Consumer Discretionary,NSDQ,1353.81
ESPERION THERAP,ESPR,Medical,NSDQ,1319.3
EXPRESS SCRIPTS,ESRX,Medical,NSDQ,59383.24
E TRADE FINL CP,ETFC,Finance,NSDQ,8448.8
ETSY INC,ETSY,Computer and Technology,NSDQ,1502.39
EV ENERGY PTNR,EVEP,Oils-Energy,NSDQ,401.23
EAST WEST BC,EWBC,Finance,NSDQ,6455.81
EXACT SCIENCES,EXAS,Medical,NSDQ,2201.38
EXELIXIS INC,EXEL,Medical,NSDQ,1304.02
EXTERRAN PTNRS,EXLP,Oils-Energy,NSDQ,1162.31
EXLSERVICE HLDG,EXLS,Business Services,NSDQ,1239
EXPEDITORS INTL,EXPD,Transportation,NSDQ,9190.72
EXPEDIA INC,EXPE,Retail-Wholesale,NSDQ,15630.38
EXPONENT INC,EXPO,Business Services,NSDQ,1132.56
SECOND SIGHT MD,EYES,Medical,NSDQ,463.03
EZCHIP SEMI LTD,EZCH,Computer and Technology,NSDQ,502.51
