Company Name,Ticker,Sector,Market Cap,Exchange
CIBER INC,CBR,Computer and Technology,252.38,NYSE
CBS CORP,CBS,Consumer Discretionary,24774.48,NYSE
CBS CORP-A,CBS.A,Consumer Discretionary,26413.31,NYSE
CABOT CORP,CBT,Basic Materials,2151.53,NYSE
COMMNTY BK SYS,CBU,Finance,1545.56,NYSE
CBIZ INC,CBZ,Business Services,463.25,NYSE
CHEMOURS COMPNY,CC,Basic Materials,1993.33,NYSE
CALGON CARBON,CCC,Industrial Products,820.11,NYSE
COCA-COLA ENTRP,CCE,Consumer Staples,11846.04,NYSE
CAMPUS CREST CM,CCG,Finance,360.84,NYSE
CROWN CASTLE,CCI,Finance,27481.96,NYSE
CAMECO CORP,CCJ,Basic Materials,5438.2,NYSE
CROWN HLDGS INC,CCK,Industrial Products,7138.78,NYSE
CARNIVAL CORP,CCL,Consumer Discretionary,30936.91,NYSE
CLEAR CHANL OUT,CCO,Business Services,3300.72,NYSE
CENTURY COMMUNT,CCS,Construction,439.52,NYSE
CERV UNIDAS-ADR,CCU,Consumer Staples,4203.11,NYSE
COEUR MINING,CDE,Basic Materials,372.95,NYSE
CEDAR SHOPN CTR,CDR,Finance,591.77,NYSE
CELANESE CP-A,CE,Basic Materials,9962.7,NYSE
CHINA EASTN-ADR,CEA,Transportation,10476.54,NYSE
CEB INC,CEB,Business Services,2508.16,NYSE
CELLCOM ISRAEL,CEL,Computer and Technology,588.42,NYSE
CNOOC LTD ADR,CEO,Oils-Energy,54898.57,NYSE
CRESTWOOD EQTY,CEQP,Oils-Energy,667.4,NYSE
CF INDUS HLDGS,CF,Basic Materials,13871.23,NYSE
CITIZENS FIN GP,CFG,Finance,14341.91,NYSE
CULP INC,CFI,Consumer Discretionary,362.54,NYSE
CULLEN FROST BK,CFR,Finance,4454.19,NYSE
COLFAX CORP,CFX,Industrial Products,4983.95,NYSE
CGG,CGG,Oils-Energy,809.19,NYSE
CELADON GROUP,CGI,Transportation,580.78,NYSE
CHINA TELCM-ADR,CHA,Utilities,44326.68,NYSE
CHURCH & DWIGHT,CHD,Consumer Staples,11653.02,NYSE
CHEMED CORP,CHE,Medical,2575.58,NYSE
CHEGG INC,CHGG,Computer and Technology,735.5,NYSE
CHOICE HTL INTL,CHH,Consumer Discretionary,2856.94,NYSE
CHESAPEAKE ENGY,CHK,Oils-Energy,5533.92,NYSE
CHINA MOBLE-ADR,CHL,Computer and Technology,266052.09,NYSE
CHEMTURA CORP,CHMT,Basic Materials,1796.96,NYSE
CHICOS FAS INC,CHS,Retail-Wholesale,2133.12,NYSE
CHESAPEAKE LODG,CHSP,Finance,1850.78,NYSE
CHUNGHWA TELECM,CHT,Utilities,24211,NYSE
CHINA UNICOM,CHU,Computer and Technology,32927.23,NYSE
CIGNA CORP,CI,Finance,37555.65,NYSE
CITIZENS INC  A,CIA,Finance,301.35,NYSE
BANCOLOMBIA-ADR,CIB,Finance,8993.09,NYSE
COBALT INTL EGY,CIE,Oils-Energy,3410.63,NYSE
CIENA CORP,CIEN,Computer and Technology,3003.16,NYSE
CEMIG SA -ADR,CIG,Utilities,3197.46,NYSE
CHIMERA INVEST,CIM,Finance,2898.71,NYSE
CIRCOR INTL,CIR,Industrial Products,766.16,NYSE
CIT GROUP,CIT,Finance,8080.74,NYSE
CIVITAS SOLUTNS,CIVI,Medical,865.74,NYSE
C&J ENERGY SVCS,CJES,Oils-Energy,918.06,NYSE
SEACOR HLDGS,CKH,Oils-Energy,1129.51,NYSE
CHECKPOINT SYS,CKP,Industrial Products,348.25,NYSE
COLGATE PALMOLI,CL,Consumer Staples,61650.04,NYSE
CORE LABS NV,CLB,Oils-Energy,4720.16,NYSE
CLARCOR INC,CLC,Conglomerates,3003.32,NYSE
CHATHAM LODGING,CLDT,Finance,900.77,NYSE
CLIFFS NATURAL,CLF,Basic Materials,411.13,NYSE
CORELOGIC INC,CLGX,Business Services,3426.13,NYSE
CLEAN HARBORS,CLH,Business Services,2956.82,NYSE
MACK CALI CORP,CLI,Finance,1853.07,NYSE
COLONY CAPITAL,CLNY,Finance,2446.25,NYSE
CONTL RESOURCES,CLR,Oils-Energy,12245.54,NYSE
CELESTICA INC,CLS,Computer and Technology,1626.8,NYSE
CLEARWATER PAPR,CLW,Basic Materials,1063.32,NYSE
CLOROX CO,CLX,Consumer Staples,15506.55,NYSE
CDN IMPL BK,CM,Finance,27919.57,NYSE
COMERICA INC,CMA,Finance,8396.47,NYSE
COMMERCIAL METL,CMC,Basic Materials,1823.04,NYSE
CHEETAH MBL-ADR,CMCM,Computer and Technology,3398.85,NYSE
CHIPOTLE MEXICN,CMG,Retail-Wholesale,23329.1,NYSE
CUMMINS INC,CMI,Auto-Tires-Trucks,22667.11,NYSE
CRESTWOOD MIDST,CMLP,Oils-Energy,1807.6,NYSE
CANTEL MED CORP,CMN,Medical,2239.8,NYSE
CAPSTEAD MTG,CMO,Finance,1046.03,NYSE
COMPASS MINERLS,CMP,Basic Materials,2714.98,NYSE
COSTAMARE INC,CMRE,Transportation,1220.19,NYSE
CMS ENERGY,CMS,Utilities,9492.32,NYSE
CNA FINL CORP,CNA,Finance,10533.59,NYSE
CENTENE CORP,CNC,Medical,8516.2,NYSE
CENCOSUD SA-ADR,CNCO,Retail-Wholesale,5600.87,NYSE
CNH INDUSTRIAL,CNHI,Auto-Tires-Trucks,12455.51,NYSE
CDN NATL RY CO,CNI,Transportation,49618.79,NYSE
CINEMARK HLDGS,CNK,Consumer Discretionary,4466.98,NYSE
CLECO CORP,CNL,Utilities,3285.33,NYSE
CONE MIDSTREAM,CNNX,Oils-Energy,403.62,NYSE
CNO FINL GRP,CNO,Finance,3373.48,NYSE
CENTERPOINT EGY,CNP,Utilities,8234.16,NYSE
CDN NTRL RSRCS,CNQ,Oils-Energy,27344.58,NYSE
COHEN&STRS INC,CNS,Finance,1380.16,NYSE
CON-WAY INC,CNW,Transportation,2126.74,NYSE
CONSOL ENERGY,CNX,Oils-Energy,3011.4,NYSE
CHINA CORD BLD,CO,Medical,558.18,NYSE
COMPASS DIVERSF,CODI,Conglomerates,926.36,NYSE
CAPITAL ONE FIN,COF,Finance,43839.11,NYSE
CABOT OIL & GAS,COG,Oils-Energy,10303.82,NYSE
COACH INC,COH,Consumer Discretionary,9136.81,NYSE
ROCKWELL COLLIN,COL,Aerospace,11278.19,NYSE
COOPER COS,COO,Medical,8448.83,NYSE
CONOCOPHILLIPS,COP,Oils-Energy,60217.13,NYSE
CORESITE REALTY,COR,Finance,1287.02,NYSE
CORENERGY INFRA,CORR,Finance,340.38,NYSE
COTT CORP QUE,COT,Consumer Staples,1213.34,NYSE
COTY INC-A,COTY,Consumer Staples,10304.21,NYSE
COUPONS.COM INC,COUP,Business Services,805.34,NYSE
CDN PAC RLWY,CP,Transportation,25182.19,NYSE
COPA HLDGS SA-A,CPA,Transportation,3341.49,NYSE
CEMENTOS PACASM,CPAC,Construction,862.03,NYSE
CAMPBELL SOUP,CPB,Consumer Staples,15613,NYSE
CALLON PETE-DEL,CPE,Oils-Energy,494.69,NYSE
CENTRAL PAC FIN,CPF,Finance,705.55,NYSE
CRESCENT PT EGY,CPG,Oils-Energy,6838.81,NYSE
COLUMBIA PIPELN,CPGX,Oils-Energy,8734.41,NYSE
CHESAPEAKE UTIL,CPK,Utilities,709.84,NYSE
CPFL ENERGI-ADR,CPL,Utilities,5059.41,NYSE
CALPINE CORP,CPN,Utilities,6117.98,NYSE
COLUMBIA PIPELN,CPPL,Oils-Energy,1106.85,NYSE
COOPER-STANDARD,CPS,Auto-Tires-Trucks,1103.61,NYSE
